"ensembl_peptide_id_version"	"external_gene_name"
"1"	"ENSXETP00000048388.3"	""
"2"	"ENSXETP00000055707.1"	""
"3"	"ENSXETP00000018365.3"	"golt1b"
"4"	"ENSXETP00000024182.3"	""
"5"	"ENSXETP00000042744.2"	""
"6"	"ENSXETP00000063722.1"	""
"7"	"ENSXETP00000057221.2"	"pafah2"
"8"	"ENSXETP00000058307.1"	"selenbp1"
"9"	"ENSXETP00000044773.3"	"selenbp1"
"10"	"ENSXETP00000002577.1"	"commd7"
"11"	"ENSXETP00000044073.3"	""
"12"	"ENSXETP00000044222.3"	""
"13"	"ENSXETP00000059886.1"	"CMIP"
"14"	""	""
"15"	"ENSXETP00000060559.1"	""
"16"	"ENSXETP00000061687.1"	"KCNJ9"
"17"	"ENSXETP00000000657.2"	""
"18"	"ENSXETP00000039112.3"	"gan"
"19"	"ENSXETP00000014984.3"	"pogz"
"20"	"ENSXETP00000044778.3"	"pogz"
"21"	"ENSXETP00000023533.3"	"zfand3"
"22"	"ENSXETP00000059623.1"	"zfand3"
"23"	"ENSXETP00000028820.3"	"pklr"
"24"	"ENSXETP00000011017.3"	""
"25"	"ENSXETP00000023529.3"	"btbd9"
"26"	"ENSXETP00000058784.1"	""
"27"	"ENSXETP00000061594.1"	""
"28"	"ENSXETP00000037957.2"	""
"29"	"ENSXETP00000061158.1"	""
"30"	"ENSXETP00000012526.3"	""
"31"	"ENSXETP00000000399.3"	"gcsh"
"32"	"ENSXETP00000061445.1"	""
"33"	"ENSXETP00000058419.1"	""
"34"	"ENSXETP00000059464.1"	""
"35"	"ENSXETP00000059585.1"	""
"36"	"ENSXETP00000044780.3"	"cgn"
"37"	"ENSXETP00000061770.1"	"cgn"
"38"	"ENSXETP00000012527.3"	"abt1"
"39"	"ENSXETP00000058562.1"	""
"40"	"ENSXETP00000028619.3"	""
"41"	"ENSXETP00000002473.3"	""
"42"	"ENSXETP00000009341.3"	""
"43"	"ENSXETP00000010418.3"	""
"44"	"ENSXETP00000003363.3"	""
"45"	"ENSXETP00000061817.1"	"glo1"
"46"	"ENSXETP00000023525.2"	"glo1"
"47"	"ENSXETP00000060250.1"	""
"48"	"ENSXETP00000063395.1"	""
"49"	"ENSXETP00000019236.3"	""
"50"	"ENSXETP00000059295.1"	""
"51"	"ENSXETP00000000377.2"	"cdk10"
"52"	"ENSXETP00000060990.1"	""
"53"	"ENSXETP00000063341.1"	""
"54"	"ENSXETP00000058461.1"	""
"55"	"ENSXETP00000062278.1"	""
"56"	"ENSXETP00000032796.3"	"atxn2l"
"57"	"ENSXETP00000032798.3"	"atxn2l"
"58"	"ENSXETP00000060071.1"	"bcl11b"
"59"	"ENSXETP00000024969.3"	"bcl11b"
"60"	"ENSXETP00000059016.1"	""
"61"	"ENSXETP00000062313.1"	"setd3"
"62"	"ENSXETP00000024971.2"	"setd3"
"63"	"ENSXETP00000060578.1"	""
"64"	"ENSXETP00000063629.1"	""
"65"	"ENSXETP00000055041.2"	""
"66"	"ENSXETP00000011852.3"	""
"67"	"ENSXETP00000060860.1"	""
"68"	"ENSXETP00000058482.1"	""
"69"	"ENSXETP00000061768.1"	"rab13"
"70"	"ENSXETP00000044787.3"	"rab13"
"71"	"ENSXETP00000058591.1"	""
"72"	"ENSXETP00000058397.1"	""
"73"	"ENSXETP00000059205.1"	""
"74"	"ENSXETP00000059776.1"	""
"75"	"ENSXETP00000023019.3"	"pcbp2"
"76"	"ENSXETP00000059361.1"	""
"77"	"ENSXETP00000048131.1"	"arfrp1"
"78"	"ENSXETP00000058929.1"	""
"79"	"ENSXETP00000062286.1"	""
"80"	"ENSXETP00000062920.1"	""
"81"	"ENSXETP00000031129.3"	""
"82"	"ENSXETP00000059643.1"	""
"83"	"ENSXETP00000010407.2"	""
"84"	"ENSXETP00000062167.1"	"mbd5"
"85"	"ENSXETP00000039498.3"	"mbd5"
"86"	"ENSXETP00000000374.3"	"atmin"
"87"	"ENSXETP00000026115.3"	"prpf19"
"88"	"ENSXETP00000061710.1"	""
"89"	"ENSXETP00000000357.3"	"cenpn"
"90"	"ENSXETP00000058313.1"	""
"91"	"ENSXETP00000061289.1"	""
"92"	"ENSXETP00000031141.2"	"smarcd2"
"93"	"ENSXETP00000060175.1"	"TUFT1"
"94"	"ENSXETP00000062162.1"	""
"95"	"ENSXETP00000063538.1"	""
"96"	"ENSXETP00000063344.1"	""
"97"	"ENSXETP00000059505.1"	"safb"
"98"	"ENSXETP00000019218.3"	"safb"
"99"	"ENSXETP00000011827.3"	""
"100"	"ENSXETP00000040137.1"	""
"101"	"ENSXETP00000054554.2"	""
"102"	"ENSXETP00000061501.1"	""
"103"	"ENSXETP00000039695.2"	""
"104"	"ENSXETP00000058388.1"	""
"105"	"ENSXETP00000064122.1"	"snx27"
"106"	"ENSXETP00000044784.3"	"snx27"
"107"	"ENSXETP00000013503.1"	""
"108"	"ENSXETP00000024974.3"	"ccnk"
"109"	"ENSXETP00000023022.3"	"znf830"
"110"	"ENSXETP00000063142.1"	""
"111"	"ENSXETP00000044791.2"	"tpm3"
"112"	"ENSXETP00000056558.2"	"tpm3"
"113"	"ENSXETP00000053297.1"	"cmc2"
"114"	"ENSXETP00000061106.1"	""
"115"	"ENSXETP00000059775.1"	""
"116"	"ENSXETP00000062064.1"	""
"117"	"ENSXETP00000062934.1"	""
"118"	"ENSXETP00000059523.1"	""
"119"	"ENSXETP00000058923.1"	""
"120"	"ENSXETP00000061306.1"	""
"121"	"ENSXETP00000054276.2"	"ccdc85c"
"122"	"ENSXETP00000062044.1"	""
"123"	"ENSXETP00000018992.3"	""
"124"	"ENSXETP00000053296.2"	"dynlrb2"
"125"	"ENSXETP00000059064.1"	""
"126"	"ENSXETP00000028850.3"	""
"127"	"ENSXETP00000023023.2"	"bag1"
"128"	"ENSXETP00000059693.1"	""
